"Base Currency","Target Currency",Rate
NOK,AUD,0.141058
NOK,BGN,0.166507
NOK,CAD,0.127762
NOK,CHF,0.080107
NOK,CNY,0.653058
NOK,CZK,2.135031
NOK,DKK,0.637236
NOK,EUR,0.085428
NOK,GBP,0.071121
NOK,HUF,34.885392
NOK,ILS,0.323425
NOK,JPY,13.801928
NOK,MDL,1.633484
NOK,NOK,1
NOK,PLN,0.364134
NOK,RON,0.424843
NOK,RSD,9.996659
NOK,RUB,9.384305
NOK,SEK,0.984752
NOK,TRY,3.135629
NOK,USD,0.089763
SEK,AUD,0.143242
SEK,BGN,0.169086
SEK,CAD,0.12974
SEK,CHF,0.081347
SEK,CNY,0.66317
SEK,CZK,2.16809
SEK,DKK,0.647103
SEK,EUR,0.086751
SEK,GBP,0.072222
SEK,HUF,35.42556
SEK,ILS,0.328433
SEK,JPY,14.015638
SEK,MDL,1.658777
SEK,NOK,1.015484
SEK,PLN,0.369772
SEK,RON,0.431421
SEK,RSD,10.151448
SEK,RUB,9.529612
SEK,SEK,1
SEK,TRY,3.184181
SEK,USD,0.091153
DKK,AUD,0.221359
DKK,BGN,0.261296
DKK,CAD,0.200494
DKK,CHF,0.12571
DKK,CNY,1.024828
DKK,CZK,3.350455
DKK,DKK,1
DKK,EUR,0.13406
DKK,GBP,0.111608
DKK,HUF,54.744844
DKK,ILS,0.507544
DKK,JPY,21.659049
DKK,MDL,2.563389
DKK,NOK,1.569277
DKK,PLN,0.571427
DKK,RON,0.666696
DKK,RSD,15.687527
DKK,RUB,14.726574
DKK,SEK,1.545349
DKK,TRY,4.92067
DKK,USD,0.140863
TRY,AUD,0.044985
TRY,BGN,0.053102
TRY,CAD,0.040745
TRY,CHF,0.025547
TRY,CNY,0.20827
TRY,CZK,0.680894
TRY,DKK,0.203224
TRY,EUR,0.027244
TRY,GBP,0.022682
TRY,HUF,11.125485
TRY,ILS,0.103145
TRY,JPY,4.401646
TRY,MDL,0.520943
TRY,NOK,0.318915
TRY,PLN,0.116128
TRY,RON,0.135489
TRY,RSD,3.188087
TRY,RUB,2.992798
TRY,SEK,0.314052
TRY,TRY,1
TRY,USD,0.028627
RUB,AUD,0.015031
RUB,BGN,0.017743
RUB,CAD,0.013614
RUB,CHF,0.008536
RUB,CNY,0.06959
RUB,CZK,0.227511
RUB,DKK,0.067904
RUB,EUR,0.009103
RUB,GBP,0.007579
RUB,HUF,3.717419
RUB,ILS,0.034464
RUB,JPY,1.470746
RUB,MDL,0.174066
RUB,NOK,0.106561
RUB,PLN,0.038802
RUB,RON,0.045272
RUB,RSD,1.065253
RUB,RUB,1
RUB,SEK,0.104936
RUB,TRY,0.334135
RUB,USD,0.009565
JPY,AUD,0.01022
JPY,BGN,0.012064
JPY,CAD,0.009257
JPY,CHF,0.005804
JPY,CNY,0.047316
JPY,CZK,0.154691
JPY,DKK,0.04617
JPY,EUR,0.00619
JPY,GBP,0.005153
JPY,HUF,2.527574
JPY,ILS,0.023433
JPY,JPY,1
JPY,MDL,0.118352
JPY,NOK,0.072454
JPY,PLN,0.026383
JPY,RON,0.030781
JPY,RSD,0.724294
JPY,RUB,0.679927
JPY,SEK,0.071349
JPY,TRY,0.227188
JPY,USD,0.006504
CNY,AUD,0.215996
CNY,BGN,0.254966
CNY,CAD,0.195637
CNY,CHF,0.122665
CNY,CNY,1
CNY,CZK,3.269284
CNY,DKK,0.975773
CNY,EUR,0.130813
CNY,GBP,0.108904
CNY,HUF,53.418545
CNY,ILS,0.495248
CNY,JPY,21.134316
CNY,MDL,2.501286
CNY,NOK,1.531258
CNY,PLN,0.557583
CNY,RON,0.650544
CNY,RSD,15.307466
CNY,RUB,14.369794
CNY,SEK,1.50791
CNY,TRY,4.801458
CNY,USD,0.13745
CZK,AUD,0.066068
CZK,BGN,0.077988
CZK,CAD,0.059841
CZK,CHF,0.03752
CZK,CNY,0.305877
CZK,CZK,1
CZK,DKK,0.298467
CZK,EUR,0.040013
CZK,GBP,0.033311
CZK,HUF,16.339524
CZK,ILS,0.151485
CZK,JPY,6.464509
CZK,MDL,0.765087
CZK,NOK,0.468377
CZK,PLN,0.170552
CZK,RON,0.198987
CZK,RSD,4.682208
CZK,RUB,4.395395
CZK,SEK,0.461235
CZK,TRY,1.468657
CZK,USD,0.042043
ILS,AUD,0.436137
ILS,BGN,0.514825
ILS,CAD,0.395028
ILS,CHF,0.247683
ILS,CNY,2.019192
ILS,CZK,6.601311
ILS,DKK,1.970273
ILS,EUR,0.264136
ILS,GBP,0.219899
ILS,HUF,107.862284
ILS,ILS,1
ILS,JPY,42.674237
ILS,MDL,5.050576
ILS,NOK,3.091904
ILS,PLN,1.125866
ILS,RON,1.313574
ILS,RSD,30.908709
ILS,RUB,29.015369
ILS,SEK,3.044759
ILS,TRY,9.695064
ILS,USD,0.277538
